类别,公司名称,公司位置,项目名字,关键词,文件路径,下标位置
中标公告,厦门合生维嘉医疗设备有限公司,福建省,采购结果公示龙岩市永定区特殊教育学校,康复 设备 学校 福建省,data/bidding/t_model_aa,1058
中标公告,广州市诺驰工业自动控制设备有限公司,海南省,中海石油海南天然气有限公司年度实验室物资采购标段一中标结果公告,实验室 物资 有限公司 海南省,data/bidding/t_model_aa,1060
中标公告,南京嘉盛景观建设有限公司,江苏省,南部新城纬七路东进二期工程景观绿化施工,景观 绿化 施工 工程 材料 有限公司 江苏省,data/bidding/t_model_aa,1063
招标公告,甘肃省烟草公司,甘肃省,甘肃省烟草公司白银市公司招标代理机构入围采购项目竞争性谈判公告,工程造价 咨询服务 公司 甘肃省,data/bidding/t_model_aa,1066
招标公告,徽县文化体育局,甘肃省,徽县大河店镇老庄村基础设施建设项目便民广场施工招标公告,广场 施工 基础设施 建设 体育局 甘肃省,data/bidding/t_model_aa,1067
招标公告,肇庆新淼水资源投资有限公司,广东省,肇庆新区起步区砚阳调洪湖水系综合整治工程检测项目,水系 综合 整治 砚阳 有限公司 广东省,data/bidding/t_model_aa,1068
招标公告,安徽省明光中学,安徽省,明光中学新校区公寓床桌凳橱柜等设备采购项目招标公告,橱柜 设备 采购 公寓床 中学 安徽省,data/bidding/t_model_aa,1088
中标公告,山西久天兴业科技发展有限公司,山西省,中国共产党忻府区委员会宣传部开办忻府新闻设备配件采购项目合同公示,设备 配件 宣传部 山西省,data/bidding/t_model_aa,1095
中标公告,上海熊猫机械(集团)有限公司,山西省,人民北路东侧沿线棚户区改造项目二次供水设备及安装工程三标包合同公示,供水 设备 棚户区 改造 管理局 山西省,data/bidding/t_model_aa,1096
招标公告,连江县公安局,福建省,连江县公安局长龙派出所修缮改造工程招标公告,修缮 改造 工程 总 投资 公安局 福建省,data/bidding/t_model_aa,1098
招标公告,怀远县河溜镇人民政府,安徽省,怀远县河溜镇人民政府采购纸类,电商 直购 纸类 人民政府 安徽省,data/bidding/t_model_aa,1102
招标公告,怀远县河溜镇人民政府,安徽省,怀远县河溜镇人民政府采购台式计算机,台式 计算机 LED 人民政府 安徽省,data/bidding/t_model_aa,1103
招标公告,怀远县兰桥乡人民政府,安徽省,怀远县兰桥乡人民政府采购其他办公家具,电商 直购 支付 方式 人民政府 安徽省,data/bidding/t_model_aa,1104
招标公告,怀远龙亢经济开发区管理委员会,安徽省,怀远龙亢经济开发区管理委员会采购硒鼓,中容 墨粉 硒鼓 委员会 安徽省,data/bidding/t_model_aa,1105
中标公告,北京互联立方技术服务有限公司,广东省,广州白云国际机场建设工程,建设工程 BIM 应用 管理 广东省,data/bidding/t_model_aa,1108
中标公告,天津市邮电设计院有限责任公司,全国,年天津联通室内覆盖工程可研及设计服务商集中招标中标候选人公示,联通 设计 服务 分公司 全国,data/bidding/t_model_aa,1109
招标公告,金秀瑶族自治县旅游发展委员会,全国,广西桂水工程咨询有限公司金秀瑶族自治县青山瀑布景区盘山公路扩宽工程,瀑布 盘山公路 委员会 全国,data/bidding/t_model_aa,1112
招标公告,大新县水利局,全国,广西国兴项目管理有限公司,勘察 设计 水利化 水利局 全国,data/bidding/t_model_aa,1114
招标公告,贵港市覃塘区交通局,全国,南宁品正建设咨询有限责任公司关于贵港市覃塘区居仕至樟木三级公路工程,樟木 公路工程 交通局 全国,data/bidding/t_model_aa,1115
招标公告,贵港市港北区交通局,全国,广西鸿业建设工程管理咨询有限公司关于贵港市港北区交通局物业管理采购,商业秘密 国家 秘密 交通局 全国,data/bidding/t_model_aa,1116
中标公告,重庆川东南地质工程勘察设计院,贵州省,花溪区麦坪镇落底农民新村安置房项目勘察中标结果公示,安置 房 勘察 有限公司 贵州省,data/bidding/t_model_aa,1121
中标公告,广西科学技术出版社有限公司,全国,广西云龙招标有限公司工业机器人应用与维护专业校本教材编印,工业 机器人 教材 学院 全国,data/bidding/t_model_aa,1126
中标公告,金光道环境建设集团有限公司,全国,鑫磐公司苍梧县,PC 公路工程 有限公司 全国,data/bidding/t_model_aa,1128
中标公告,广西中兴建筑工程有限责任公司,全国,广西德承工程项目管理有限公司隆盛镇中和村垃圾处理中心工程项目编号,中心 工程 垃圾处理 人民政府 全国,data/bidding/t_model_aa,1129
招标公告,来凤县住房和城乡建设局,湖北省,来凤县海绵城市专项规划编制服务项目竞争性谈判采购公告,专项规划 编制 建设局 湖北省,data/bidding/t_model_aa,1131
招标公告,雷波县磷化工产业园区管理委员会,全国,雷波县磷化工产业园区,道路 建设工程 水泥 委员会 全国,data/bidding/t_model_aa,1132
招标公告,钟山县经济贸易局,全国,北京诚佳信工程管理有限公司关于钟山县经济贸易局原水泥厂棚户区改造项目详细勘察项目采购询价招标公告,棚户区 改造 水泥厂 贸易局 全国,data/bidding/t_model_aa,1135
招标公告,博白县公路管理所,全国,广西桂春工程项目管理咨询有限公司博白县宁谭镇杨其桥工程项目编号,装配式 桥墩 管理所 全国,data/bidding/t_model_aa,1137
招标公告,广西两岸产业发展股份有限公司,全国,广西中信恒泰工程顾问有限公司玉林市,施工 监理 配电 工程 有限公司 全国,data/bidding/t_model_aa,1138
中标公告,广东海大集团股份有限公司,广东省,武警广东省总队警犬基地犬粮采购项目招标结果公示,铅 酸蓄电池 航站楼 总队 广东省,data/bidding/t_model_aa,1139
中标公告,广州华腾电子有限责任公司,广东省,广东医科大学附属医院门诊部超声科设备维护保养项目招标招标结果公告,设备 维护 保养 超声 医院 广东省,data/bidding/t_model_aa,1140
中标公告,四川华达建设工程管理有限公司,四川省,羊市街西玉龙街道路改造工程监理,工程 监理 道路 改造 有限公司 四川省,data/bidding/t_model_aa,1143
招标公告,禄劝彝族苗族自治县转龙镇人民政府,云南省,倘甸和轿子山两区,建设 试点 总 投资 人民政府 云南省,data/bidding/t_model_aa,1148
招标公告,昆明市盘龙区松华街道办事处,云南省,松华街道办事处三家社区村级活动场所建设项目设计招标二次谈判,活动场所 建设 施工图 设计 办事处 云南省,data/bidding/t_model_aa,1149
招标公告,南宁市江南区住房和城乡建设局,全国,江南区公共资源交易综合服务中心江南区福园街道路和桥梁检测采购公告,桥梁 检测 建设局 全国,data/bidding/t_model_aa,1152
中标公告,南宁华雄科技有限公司,全国,广西国泰招标咨询有限公司计算机实训基地建设设备采购,实训 基地 建设 学院 全国,data/bidding/t_model_aa,1153
招标公告,玉林市发展和改革委员会,全国,广西高晟工程管理有限公司玉林市重点流域综合治理方案,流域 综合治理 委员会 全国,data/bidding/t_model_aa,1156
招标公告,富川瑶族自治县住房和城乡建设局,全国,广西建宇工程招标有限公司关于桂北商贸中心市政道路配套项目施工图设计服务采购项目编号,施工图 设计 服务 建设局 全国,data/bidding/t_model_aa,1157
中标公告,广西新缘路建工程有限公司,全国,广西德元工程项目管理有限责任公司扶绥县西长卫生院业务用房项目中标候选人公示,卫生院 业务 用房 垃圾处理 卫生院 全国,data/bidding/t_model_aa,1160
招标公告,淮北市机关事务管理局,安徽省,淮北市机关食堂弱电变更项目招标公告,食堂 弱电 管理局 安徽省,data/bidding/t_model_aa,1163
招标公告,城固县博望街道办事处,陕西省,城固县移民搬迁项目莲花新村集中安置点,移民 搬迁 室外工程 办事处 陕西省,data/bidding/t_model_aa,1165
中标公告,中盛兴建设集团有限公司,湖北省,大冶市实验中学教学楼和食堂改造工程施工评标结果公示,食堂 改造 中学 湖北省,data/bidding/t_model_aa,1166
中标公告,浙江森禾种业股份有限公司,湖北省,关于阳新县三溪乡村园博园景观工程,景观 工程 有限公司 湖北省,data/bidding/t_model_aa,1167
中标公告,黄石市振兴工程监理有限公司,湖北省,关于湖北省阳新县网湖水利综合治理工程网湖隔堤水毁修复应急加固实施方案一期工程,加固 水毁 修复 水利局 湖北省,data/bidding/t_model_aa,1168
中标公告,湖北恒大建设工程有限公司,湖北省,关于下陆区公共体育场照明播音工程,体育场 照明 中心 湖北省,data/bidding/t_model_aa,1169
招标公告,武汉科技大学,湖北省,新系统武汉科技大学青山校区职工宿舍屋面平改坡工程,栋施 职工宿舍 大学 湖北省,data/bidding/t_model_aa,1170
中标公告,在3个日历日公示期满后到我中心,安徽省,淮北市朔里高级职业中学计算机教室设备中标公示,计算机 教室 设备 职业中学 安徽省,data/bidding/t_model_aa,1176
中标公告,北京诚汇科技有限公司,贵州省,诚信天下白云信用云平台,云 平台 建设 贵州省,data/bidding/t_model_aa,1177
中标公告,贵州万盛达建筑工程有限公司,贵州省,艳山红社区金园路夜市提升改造设施购置项目,提升 改造 设施 贵州省,data/bidding/t_model_aa,1178
招标公告,黄山市人民医院,安徽省,自体血回收机采购项目竞争性谈判邀请书,回收机 自体 医院 安徽省,data/bidding/t_model_aa,1180
招标公告,黄山市徽州区城市建设投资有限公司,安徽省,歙黟一级公路施工第三方检测采购项目竞争性谈判邀请书,第三方 检测 有限公司 安徽省,data/bidding/t_model_aa,1182
中标公告,上海复旦规划建筑设计研究院有限公司,安徽省,太平湖末期调查与评估采购项目中标公告,翡翠 调查 环境保护局 安徽省,data/bidding/t_model_aa,1185
招标公告,四川省德阳市卫生和计划生育委员会,四川省,德阳市卫生和计划生育委员会德阳市,社会 服务 防治 委员会 四川省,data/bidding/t_model_aa,1187
中标公告,湖北省水利水电规划勘测设计院,湖北省,新系统武汉市童家湖泵站工程勘察设计中标结果公告,泵站 工程 勘察 设计 湖北省,data/bidding/t_model_aa,1188
中标公告,黄石市市政园林设计研究院,湖北省,张志和大道二期道路排水工程设计中标公告,道路 排水工程 设计 委员会 湖北省,data/bidding/t_model_aa,1190
中标公告,大连泛华工程建设监理有限公司,辽宁省,工程建设沈阳市外事服务学校旅游服务专业群实训基地质量提升计划及附属,改造 工程 监理 旅游 服务 学校 辽宁省,data/bidding/t_model_aa,1193
中标公告,沈阳市建设工程项目管理中心,辽宁省,万科春河里花园居住商业三期项目,工程 监理 房屋建筑 工程 有限公司 辽宁省,data/bidding/t_model_aa,1194
中标公告,中国建筑材料工业地质勘查中心,辽宁省,沈阳市地下综合管廊南运河段工程,地下 综合 管廊 IC卡 有限公司 辽宁省,data/bidding/t_model_aa,1195
中标公告,沈阳瀚翔建筑工程有限公司,辽宁省,沈阳市动物检疫申报咨询投诉受理中心改造项目,动物 检疫 中心 改造 所 辽宁省,data/bidding/t_model_aa,1196
中标公告,沈阳精博科技有限公司,辽宁省,沈阳市农业监测总站液相,三重 杆 串联 质谱仪 液相 总站 辽宁省,data/bidding/t_model_aa,1197
招标公告,扶绥县山圩镇卫生院,广西壮族自治区,扶绥县山圩镇卫生院垃圾处理配电设备业务楼及周转宿舍项目施工招标控制价公告,卫生院 配电 设备 卫生院 广西壮族自治区,data/bidding/t_model_aa,1199
招标公告,中国人民武装警察部队深圳市支队,广东省,台式计算机及碎纸机竞价采购公告三次,碎纸机 台式 计算机 支队 广东省,data/bidding/t_model_aa,1202
中标公告,深圳市智合医疗科技有限公司,广东省,市人民医院实训基地模拟教学设备二次中标公告,实训 基地 教学设备 广东省,data/bidding/t_model_aa,1205
中标公告,天津市丰韵诚信科技有限公司,天津市,办公设备购置合同公告,设备 购置 机关 天津市,data/bidding/t_model_aa,1207
中标公告,天津鸿福佳家具销售有限公司,天津市,办公家具采购合同公告,办公 家具 采购 机关 天津市,data/bidding/t_model_aa,1208
中标公告,天津市鸿玲电子科技有限公司,天津市,办公设备采购合同公告,办公设备 采购 机关 天津市,data/bidding/t_model_aa,1209
中标公告,天津市康星计算机技术发展有限公司,天津市,天津市水科院采购台式一体机合同公告,台式 一体机 研究院 天津市,data/bidding/t_model_aa,1214
中标公告,天津英泰利智自动化科技有限公司,天津市,天津市城市规划设计研究院天津市土地规划研究院规划院一二层改造项目智能化安装工程,城市规划 智能化 研究院 天津市,data/bidding/t_model_aa,1215
招标公告,天津职业技术师范大学,天津市,天津职业技术师范大学天津职业技术师范大学后勤膳食中心用工劳务派遣服务项目,用工 劳务 派遣 服务 师范大学 天津市,data/bidding/t_model_aa,1216
中标公告,天津市景源绿化工程有限公司,天津市,天津市梨园监狱行政区景观绿化项目,景观 绿化 监狱 天津市,data/bidding/t_model_aa,1224
中标公告,天津市华鼎电力工程有限公司,天津市,静海区中小学劳动教育基地变压器购置安装工程项目,教育 基地 安装 工程 中小学 天津市,data/bidding/t_model_aa,1225
中标公告,天津市保君物业管理有限公司,天津市,天津市河东区第一幼儿园物业管理服务项目,物业管理 服务 幼儿园 天津市,data/bidding/t_model_aa,1226
中标公告,天津方联智想科技有限公司,天津市,办公设备采购项目,办公设备 采购 机关 天津市,data/bidding/t_model_aa,1227
中标公告,北京泰兰德窗帘有限公司,天津市,天津市公安局警务保障部天津市公安局,天棚 帘 窗帘 保障部 天津市,data/bidding/t_model_aa,1229
中标公告,九江石化工程建设监理有限公司,江西省,油气管道隐患整治项目工程监理,管道 整治 工程 监理 江西省,data/bidding/t_model_aa,1241
招标公告,丰都县农业委员会,重庆市,丰都县农业委员会农业物资项目,农业 物资 委员会 重庆市,data/bidding/t_model_aa,1250
招标公告,潼南区公安消防大队,重庆市,潼南区消防支队办公家具第二次,办公 家具 现作 消防大队 重庆市,data/bidding/t_model_aa,1255
招标公告,九龙坡区教育委员会,重庆市,九龙坡区教委所需办公家具公开招标第二次,小样 办公 家具 委员会 重庆市,data/bidding/t_model_aa,1258
招标公告,重庆市渝中区环境保护局,重庆市,环保局执法服装第二次,执法 服装 环境保护局 重庆市,data/bidding/t_model_aa,1268
中标公告,重庆市永固建设工程监理有限公司,重庆市,万州清泉中学改扩建工程,中学 改扩建 改建工程 中学 重庆市,data/bidding/t_model_aa,1269
中标公告,重庆市万州水电建筑工程有限公司,重庆市,万州区红溪沟移民小区基础设施完善工程金港支路及天津路沥青砼铺筑,沥青 砼 管理处 重庆市,data/bidding/t_model_aa,1271
中标公告,内蒙古和林格尔县华蒙建筑有限责任公司,全国,清水河县人民法院清水河县人民法院审判法庭室内装修及室外附属工程中标成交公示,室内 装修 室外 附属 工程 人民法院 全国,data/bidding/t_model_aa,1277
中标公告,金华市金阳光工贸有限公司,江苏省,南京至高淳城际轨道禄口新城南站至高淳段工程导向标识系统采购项目,导向 标识 系统 城际 轨道 公司 江苏省,data/bidding/t_model_aa,1278
中标公告,必须凭银行,广东省,南海区佛山大堤,工程 勘察 勘察 设计 办事处 广东省,data/bidding/t_model_aa,1280
招标公告,水利部国家防汛抗旱指挥系统工程项目建设办公室,北京市,国家防汛抗旱指挥系统二期工程移动应急指挥平台应急指挥便携站一项目中标公告,系统工程 移动 办公室 北京市,data/bidding/t_model_aa,1281
招标公告,临海市国省道改造总指挥部,全国,临海小芝至三门小雄公路工程临海第,公路工程 绿化 工程 总指挥部 全国,data/bidding/t_model_aa,1283
招标公告,陇南市武都区草原监督管理站,甘肃省,陇南市武都区草原监督管理站陇南市武都区新一轮退耕还草工程,工程 苜蓿 种籽 站 甘肃省,data/bidding/t_model_aa,1286
招标公告,泾川县玉都中学,全国,泾川县玉都中学教学设备采购项目中标公告,教学设备 采购 台式 电脑 中学 全国,data/bidding/t_model_aa,1288
招标公告,临夏州体育局,全国,临夏州体育局东郊公园拼装式游泳池及配套设施采购项目中标公告,游泳池 拼装 体育局 全国,data/bidding/t_model_aa,1289
中标公告,广州亚泰建筑设计院有限公司,江西省,安远县城北工业园与版石工业园扶贫移民安置点方案规划和一期施工图设计招标中标公示,移民 安置 施工图 有限公司 江西省,data/bidding/t_model_aa,1290
招标公告,广西百色农业学校,全国,广西云龙招标有限公司现代农艺技术示范特色专业及实训基地设备采购,实训 基地 学校 全国,data/bidding/t_model_aa,1291
中标公告,江西子奇建设工程有限公司,江西省,大余县梅关足球场工程中标公示,足球场 工程 中学 江西省,data/bidding/t_model_aa,1294
中标公告,江西吉成顺建筑工程有限公司,江西省,宁都县小微企业创业园一期建设项目招标中标候选人公示,企 创业园 建设 委员会 江西省,data/bidding/t_model_aa,1297
中标公告,江西省赣州昌顺工程建设监理有限公司,江西省,赣州市章贡区水东虔东大道及周边路网工程二期监理招标,工程 监理 市政 公用 有限公司 江西省,data/bidding/t_model_aa,1298
招标公告,磐安县尚湖镇人民政府,浙江省,磐安县尚湖镇工业功能区块加畈区块一号桥二号桥拓宽改造工程,拓宽 改造 工程 人民政府 浙江省,data/bidding/t_model_aa,1300
招标公告,磐安县尚湖镇人民政府,浙江省,磐安县尚湖镇工业功能区块加畈区块一号桥二号桥拓宽改造工程,拓宽 改造 工程 人民政府 浙江省,data/bidding/t_model_aa,1302
中标公告,南宁利工文特教设备有限公司,广西壮族自治区,残疾人辅助器具采购成交信息公告,辅助 器具 残疾 联合会 广西壮族自治区,data/bidding/t_model_aa,1303
招标公告,武宣县公安局,全国,广西汉昌工程咨询有限公司武宣县强制隔离戒毒所监理,监理 服务 公安局 全国,data/bidding/t_model_aa,1306
招标公告,玉林市福绵区水库移民工作管理局,全国,广西科联招标中心竞争性谈判公告,维修 工程 管理局 全国,data/bidding/t_model_aa,1307
招标公告,桂林技师学院,全国,广西科联招标中心关于汽车教学设备采购,教学设备 采购 实训 台 学院 全国,data/bidding/t_model_aa,1308
招标公告,宾阳县教育局,全国,广西科文招标有限公司宾阳县,工程 培训 培养对象 教育局 全国,data/bidding/t_model_aa,1309
招标公告,河池市第三人民医院,全国,广西鑫磐工程项目管理有限责任公司关于河池市第三人民医院食堂一二楼装修工程竞标公告,装修 工程 食堂 医院 全国,data/bidding/t_model_aa,1310
招标公告,贵港新兴城投有限责任公司,全国,重庆驰久卓越工程管理有限公司关于贵港市同济大桥西南大桥鲤鱼江大桥桥梁动静载试验工程项目编号,大桥 桥梁 同济 公司 全国,data/bidding/t_model_aa,1311
中标公告,山西阳煤化工机械集团有限公司,山西省,永济市职业中专学校永济市职业中专学校,甲醇 锅炉 机械 中专学校 山西省,data/bidding/t_model_aa,1324
中标公告,兰州大华轴承有限公司,全国,大唐甘肃西固热电厂设备部电气螺栓询价结果公告,电气 螺栓 热电厂 有限公司 全国,data/bidding/t_model_aa,1325
招标公告,南昌市新建区农业局,江西省,农田面源污染防治工程,农田 面源 污染 农业局 江西省,data/bidding/t_model_aa,1326
中标公告,北京双圆工程咨询监理有限公司,全国,北京丽泽金融商务区北区地下交通环廊工程三标段,工程 监理 金融 有限公司 全国,data/bidding/t_model_aa,1335
中标公告,北京方正建设工程管理有限公司,全国,北京丽泽金融商务区北区地下交通环廊工程一标段,工程 监理 金融 有限公司 全国,data/bidding/t_model_aa,1336
中标公告,山西省建筑标准设计研究院,山西省,左权县石佛寺森林公园基础设施一期设计项目合同公示,森林公园 林业 林业局 山西省,data/bidding/t_model_aa,1343
招标公告,沧州渤海新区骅郡港口开发建设有限公司,河北省,沧州渤海新区新材料园配套设施工程设计,工程设计 施工图 设计 有限公司 河北省,data/bidding/t_model_aa,1344
招标公告,庆阳市西峰区三姓林果专业合作社,甘肃省,庆阳市西峰区三姓林果专业合作社苹果基地防雹网搭建采购项目,苹果 三姓 合作社 甘肃省,data/bidding/t_model_aa,1346
招标公告,威信县双河苗族彝族乡人民政府,云南省,威信县双河苗族彝族乡楠木村岩桑坳易地扶贫搬迁工程施工招标,搬迁 工程施工 易地 扶贫 人民政府 云南省,data/bidding/t_model_aa,1348
中标公告,新疆鑫城工程建设有限责任公司,全国,阿图什市旧住宅区综合整治配套设施房屋维护养护工程六标中标候选人公示,住宅 综合 整治 全国,data/bidding/t_model_aa,1349
中标公告,克孜勒苏柯尔克孜自治州第一建筑安装工程有限责任公司,全国,阿图什市旧住宅区综合整治配套设施房屋维护养护工程五标二次公告中标候选人公示,住宅 综合 整治 全国,data/bidding/t_model_aa,1350
中标公告,克孜勒苏柯尔克孜自治州第一建筑安装工程有限责任公司,全国,阿图什市旧住宅区综合整治配套设施房屋维护养护工程一标中标候选人公示,住宅 综合 整治 全国,data/bidding/t_model_aa,1351
中标公告,中天西北建设投资集团有限公司,陕西省,碧桂园天玺二标段施工直接发包,住宅 剪力墙 结构 有限公司 陕西省,data/bidding/t_model_aa,1352
中标公告,西安普迈项目管理有限公司,陕西省,碧桂园天玺二标段监理直接发包,住宅 剪力墙 结构 有限公司 陕西省,data/bidding/t_model_aa,1353
中标公告,北京智博联科技股份有限公司,四川省,线下采购公示局科研所设备购置,设备 购置 站 四川省,data/bidding/t_model_aa,1356
中标公告,深圳市鸿天盛信息技术有限公司,广东省,办公家具设备采购项目中标公告,办公 家具 委员会 广东省,data/bidding/t_model_aa,1361
招标公告,无为县开城镇人民政府,安徽省,电子招投标无为县开城镇独山村部工程项目公开征集公告,控制 价 人民政府 安徽省,data/bidding/t_model_aa,1363
招标公告,无为县陡沟镇人民政府,安徽省,电子招投标无为县陡沟镇政府办事大厅及司法所办公用房工程,办公用房 装饰 工程 人民政府 安徽省,data/bidding/t_model_aa,1364
招标公告,昆明市盘龙区建设投资有限公司,云南省,昆明市消防支队盘龙区消防站业务用房建设项目中水雨水回收系统工程设计施工一体化招标二次招标公告,业务 用房 建设 系统工程 有限公司 云南省,data/bidding/t_model_aa,1368
招标公告,国电驻马店热电有限公司,河南省,国电驻马店热电有限公司燃料系统运行维护及保洁项目招标公告,运行 维护 保洁 有限公司 河南省,data/bidding/t_model_aa,1369
招标公告,禄劝彝族苗族自治县转龙镇人民政府,云南省,倘甸和轿子山两区,建设 试点 总 投资 人民政府 云南省,data/bidding/t_model_aa,1371
中标公告,山东省章丘鼓风机股份有限公司,山东省,豫北化工鹤煤化工罗茨鼓风机,罗茨 鼓风机 石灰石 分公司 山东省,data/bidding/t_model_aa,1375
中标公告,郑州东科电气设备有限公司,河南省,鹤煤公司热电厂,成网 热电厂 有限公司 河南省,data/bidding/t_model_aa,1377
招标公告,索县人民政府,全国,西藏那曲地区索县新城区防洪工程施工招标公告,防洪工程 水利水电 人民政府 全国,data/bidding/t_model_aa,1384
招标公告,西安市灞桥区人民政府新合街道办事处,陕西省,关于新合街办锅炉及暖气改造项目公开招标公告,暖气 改造 管道 办事处 陕西省,data/bidding/t_model_aa,1386
招标公告,苏州市轨道交通集团有限公司运营分公司,江苏省,调度大厅地毯鞋套机采购比选公告,地毯 鞋套机 分公司 江苏省,data/bidding/t_model_aa,1390
招标公告,安徽建筑大学,安徽省,安徽建筑大学空调进高校二期电源线路敷设监理谈判公告,空调 电源 大学 安徽省,data/bidding/t_model_aa,1392
招标公告,郎溪县教体局,安徽省,郎溪县中等专业学校实训设备采购项目,实训 设备 教体局 安徽省,data/bidding/t_model_aa,1396
招标公告,安徽省明光中学,安徽省,明光中学新校区公寓床桌凳橱柜等设备采购项目招标公告,橱柜 设备 采购 公寓床 中学 安徽省,data/bidding/t_model_aa,1397
招标公告,西藏自治区交通建设项目招投标中心,西藏自治区,线拉萨至日喀则和平机场公路工程勘察设计招标公告,工程 勘察 公路工程 中心 西藏自治区,data/bidding/t_model_aa,1400
中标公告,安徽太平洋电缆股份有限公司,福建省,厦门市翔安区市政市容环境卫生管理处铝合金市政电缆采购,铝合金 电缆 管理处 福建省,data/bidding/t_model_aa,1401
中标公告,希努尔男装股份有限公司,北京市,日照市岚山区安全生产监督管理局工作制服采购项目成交公告,工作 制服 管理局 北京市,data/bidding/t_model_aa,1402
中标公告,湖南舟峰服饰有限公司,北京市,乐平市洎阳招标代理有限公司关于乐平市城管大队服装采购项目的中标公示,服装 采购 大队 北京市,data/bidding/t_model_aa,1406
中标公告,吉水县启迪电脑有限公司,江西省,中央储备粮吉水直属库,多功能 一体机 集中 采购 江西省,data/bidding/t_model_aa,1407
中标公告,武汉三土佳园食品有限公司,湖北省,武汉理工大学离退休教职工元旦春节福利物资采购中标公告,春节 福利 职工福利 湖北省,data/bidding/t_model_aa,1417
中标公告,宁波凯迪科教仪器有限公司,北京市,闽清县教育局教学设备采购项目中标公告,设备 采购 教育局 北京市,data/bidding/t_model_aa,1425
中标公告,上海慧君科技发展有限公司,北京市,电致发光器件测试系统荧光光谱仪采购项目结果公告,测试 系统 发光 器件 大学 北京市,data/bidding/t_model_aa,1426
中标公告,铜仁市公共资源交易中心,贵州省,铜仁市梵净山创建国家,旅游 景区 提升 方案 编制 委员会 贵州省,data/bidding/t_model_aa,1436
招标公告,华亭县水利管理总站,甘肃省,华亭县水利管理总站,维修 阀门 配件 总站 甘肃省,data/bidding/t_model_aa,1441
中标公告,临夏县农业扶贫开发有限责任公司,甘肃省,临夏县交通运输局临夏州康乐莲麓至积石山大河家旅游扶贫大通道临夏县段耳子屲梁至卧龙沟公路建设政府购买服务项目中标公告,旅游 扶贫 公路 建设 局 甘肃省,data/bidding/t_model_aa,1443
中标公告,雅昌文化集团有限公司,甘肃省,中国共产党永靖县委员会宣传部印刷出版,印刷 出版 画册 宣传部 甘肃省,data/bidding/t_model_aa,1444
中标公告,进账单和收据到张掖市公共资源交易中心,甘肃省,民乐县园林绿化局,绿化 改造 提升 工程 局 甘肃省,data/bidding/t_model_aa,1445
中标公告,进账单和收据到张掖市公共资源交易中心,甘肃省,民乐县园林绿化局,绿化 工程 局 甘肃省,data/bidding/t_model_aa,1446
中标公告,庆阳红树林园林绿化有限责任公司,甘肃省,镇原县林业局新一轮退耕还林,退耕还林 包金 林业局 甘肃省,data/bidding/t_model_aa,1448
招标公告,莆田市东圳水环境治理有限公司,福建省,东圳水库饮用水源地建设工程勘察设计,水库 饮用 勘察 有限公司 福建省,data/bidding/t_model_aa,1449
招标公告,福建仙游经济开发区建设有限公司,福建省,枫慈溪两侧污水主干管工程勘察设计项目莆田综合评估法招标公告,勘察 污水 有限公司 福建省,data/bidding/t_model_aa,1451
中标公告,西安市地铁六号线一期工程南客站,全国,中铁九局西安分公司方木管片螺栓竞争性谈判文件,土建 施工 螺栓 分公司 全国,data/bidding/t_model_aa,1456
中标公告,中铁宝桥集团有限公司,全国,黄陵小火车油漆,小 火车 油漆 涂装 全国,data/bidding/t_model_aa,1457
中标公告,福建省强凯园林建设有限公司,福建省,莆田市工人文化宫广场改造工程中标公示,改造 工程 文化宫 福建省,data/bidding/t_model_aa,1458
中标公告,福建凯莱建工有限公司,福建省,湄洲岛文甲码头风雨长廊景观工程中标公示,长廊 景观 工程 公司 福建省,data/bidding/t_model_aa,1460
中标公告,邯郸市欧旭通电力设备销售有限公司,全国,大唐武安发电有限公司脱硫专业,氧化 风机 脱硫 有限公司 全国,data/bidding/t_model_aa,1465
中标公告,保定隆胜电气有限公司,全国,冯贝堡项目开关智能测控装置,测控 装置 开关 公司 全国,data/bidding/t_model_aa,1472
中标公告,北京天连和谐仪器仪表有限公司,全国,大唐宝鸡热电厂二异丙胺等询价公告,二异 丙胺 热电厂 全国,data/bidding/t_model_aa,1473
中标公告,河南依诺斯电力设备有限公司,全国,许昌龙岗发电有限责任公司液压软管总成询价结果公告,液压 软管 公司 全国,data/bidding/t_model_aa,1474
中标公告,厦门得立机电有限公司,全国,兰州西固热电公司空压机机头维修试验试运行等询价结果公告,头维 空压机 公司 全国,data/bidding/t_model_aa,1475
中标公告,甘肃省三木水土保持咨询评估中心有限责任公司,全国,三道湾水电工程水土保持设施竣工验收技术评估服务询价结果公告,水土保持 设施 技术 评估 有限公司 全国,data/bidding/t_model_aa,1476
中标公告,北京福明阳科贸有限公司,全国,大唐华银欣正风电连体检修服采购结果公告,体检 风电 公司 全国,data/bidding/t_model_aa,1479
中标公告,内蒙古闽泰科技有限公司,全国,托电五期化学不锈钢管阀门询价结果公告,阀门 化学 不锈钢管 公司 全国,data/bidding/t_model_aa,1480
中标公告,徐州漳泽燃烧控制技术有限公司,全国,云冈热电公司燃烧器备件询价结果公告,燃烧器 备件 公司 全国,data/bidding/t_model_aa,1481
中标公告,长沙凯讯设备成套工程有限公司,全国,河南移动驻马店公司基站发电自启动后备电源整治项目,基站 电源 整治 有限公司 全国,data/bidding/t_model_aa,1488
